;amount;3D_secured;day;current_paid_fee;current_number_of_try;has_predecessors;hour;minute;second;month_as_int;Is_Monday;Is_Tuesday;Is_Wednesday;Is_Thursday;Is_Friday;Is_Saturday;Is_Sunday;Is_Moneycard;Is_Goldcard;Is_UK_Card;Is_Simplecard;success_fee;fail_fee;Is_Visa;Is_Diners;Is_Master;Is_Germany;Is_Austria;Is_Switzerland
0;89;0;1;0.0;1;0;0;1;11;1;0;1;0;0;0;0;0;0;0;1;0;3;1.0;1;0;0;1;0;0
1;89;0;1;1.0;2;1;0;1;17;1;0;1;0;0;0;0;0;0;0;1;0;3;1.0;1;0;0;1;0;0
2;238;1;1;0.0;1;0;0;2;49;1;0;1;0;0;0;0;0;0;0;1;0;3;1.0;0;1;0;1;0;0
3;238;1;1;1.0;2;1;0;3;13;1;0;1;0;0;0;0;0;0;0;1;0;3;1.0;0;1;0;1;0;0
4;124;0;1;0.0;1;0;0;4;33;1;0;1;0;0;0;0;0;0;0;0;1;1;0.5;0;1;0;0;1;0
5;282;0;1;0.0;1;0;0;6;41;1;0;1;0;0;0;0;0;0;0;1;0;3;1.0;0;0;1;0;0;1
6;282;0;1;1.0;2;1;0;7;19;1;0;1;0;0;0;0;0;0;0;0;1;1;0.5;0;0;1;0;0;1
7;117;0;1;0.0;1;0;0;8;46;1;0;1;0;0;0;0;0;0;0;1;0;3;1.0;0;0;1;1;0;0
8;174;0;1;0.0;1;0;0;9;56;1;0;1;0;0;0;0;0;0;0;0;1;1;0.5;1;0;0;0;0;1
9;174;0;1;0.5;2;1;0;10;49;1;0;1;0;0;0;0;0;0;0;0;1;1;0.5;1;0;0;0;0;1
10;232;1;1;0.0;1;0;0;12;15;1;0;1;0;0;0;0;0;0;0;0;1;1;0.5;0;1;0;0;1;0
11;232;1;1;0.5;2;1;0;12;52;1;0;1;0;0;0;0;0;0;0;1;0;3;1.0;0;1;0;0;1;0
12;232;1;1;1.5;3;1;0;13;34;1;0;1;0;0;0;0;0;0;0;1;0;3;1.0;0;1;0;0;1;0
13;232;1;1;2.5;4;1;0;13;44;1;0;1;0;0;0;0;0;0;0;1;0;3;1.0;0;1;0;0;1;0
14;232;1;1;3.5;5;1;0;14;35;1;0;1;0;0;0;0;0;0;0;1;0;3;1.0;0;1;0;0;1;0
15;268;0;1;0.0;1;0;0;15;45;1;0;1;0;0;0;0;0;0;0;0;1;1;0.5;0;0;1;1;0;0
16;89;0;1;0.0;1;0;0;18;18;1;0;1;0;0;0;0;0;0;0;0;1;1;0.5;0;0;1;0;0;1
17;89;0;1;0.5;2;1;0;18;21;1;0;1;0;0;0;0;0;0;0;1;0;3;1.0;0;0;1;0;0;1
18;89;0;1;1.5;3;1;0;18;37;1;0;1;0;0;0;0;0;1;0;0;0;5;2.0;0;0;1;0;0;1
19;205;0;1;0.0;1;0;0;20;53;1;0;1;0;0;0;0;0;0;0;1;0;3;1.0;0;0;1;1;0;0
20;205;0;1;1.0;2;1;0;20;56;1;0;1;0;0;0;0;0;0;0;1;0;3;1.0;0;0;1;1;0;0
21;205;0;1;2.0;3;1;0;21;11;1;0;1;0;0;0;0;0;1;0;0;0;5;2.0;0;0;1;1;0;0
22;111;0;1;0.0;1;0;0;23;48;1;0;1;0;0;0;0;0;0;0;0;1;1;0.5;0;0;1;0;0;1
23;111;0;1;0.5;2;1;0;24;41;1;0;1;0;0;0;0;0;0;0;1;0;3;1.0;0;0;1;0;0;1
24;111;0;1;1.5;3;1;0;24;55;1;0;1;0;0;0;0;0;0;0;1;0;3;1.0;0;0;1;0;0;1
25;111;0;1;2.5;4;1;0;25;47;1;0;1;0;0;0;0;0;0;0;1;0;3;1.0;0;0;1;0;0;1
