;amount;current_paid_fee;day;hour;minute;second
31154;393;6;4;15;28;18
25663;254;0;30;4;50;27
30963;175;12;4;11;17;58
37731;211;0;11;23;9;14
15297;273;2;16;13;15;18
2993;79;4;2;12;12;8
16549;256;2;18;5;52;15
16808;145;4;18;14;31;47
2088;321;0;1;17;35;51
13506;172;2;14;10;52;53
28189;38;6;1;18;4;33
46992;176;4;23;22;15;37
10424;225;0;10;11;20;6
12627;410;0;13;12;46;39
17095;114;0;18;23;38;23
45260;321;0;21;8;40;49
21121;40;0;24;2;42;34
41933;74;0;17;7;20;40
9113;224;0;9;0;38;4
12790;95;0;13;17;17;18
20513;208;3;23;8;24;0
39183;118;0;13;14;48;8
19451;189;0;22;1;13;34
32109;219;0;5;13;28;43
50044;93;2;27;13;4;43
16106;53;1;17;15;42;15
36013;221;5;10;4;15;24
3547;198;0;3;0;14;50
27634;229;6;1;5;15;25
18049;408;0;20;9;44;23
37071;174;5;11;6;13;43
37178;137;0;11;9;11;29
22019;251;0;25;10;21;50
11450;410;2;11;18;29;41
26302;189;0;30;23;55;37
16368;295;0;17;23;45;29
22654;276;0;26;10;15;2
13745;279;4;14;17;28;5
34398;120;0;7;22;52;12
29303;246;2;2;22;9;39
39920;112;0;14;13;41;43
42353;13;1;17;19;1;29
36493;159;2;10;16;1;30
10964;113;3;11;3;3;1
32147;13;0;5;14;18;9
31332;44;2;4;19;23;44
48530;226;0;25;17;21;15
22548;182;9;26;5;48;15
11402;28;0;11;16;38;59
12524;340;5;13;9;35;48
17150;9;0;19;2;5;44
18533;262;2;20;22;45;44
4010;236;2;3;10;47;1
11562;63;0;11;23;1;50
7496;254;12;7;8;20;32
24633;319;9;28;22;27;32
28177;201;0;1;17;53;25
45694;62;2;21;23;3;11
1992;243;0;1;15;33;54
49450;264;0;26;19;47;50
9097;184;12;9;0;24;41
28303;282;4;1;20;48;55
26662;202;2;0;8;6;23
37745;269;4;11;23;37;46
33253;184;4;6;17;13;25
26945;331;0;0;13;56;45
5579;29;0;5;4;58;1
47080;406;0;24;1;21;34
8891;69;0;8;19;8;35
50135;231;0;27;15;37;40
8249;251;4;8;2;1;32
22194;187;0;25;16;51;50
34857;146;0;8;13;2;43
18491;186;0;20;21;43;17
1423;292;8;1;3;41;53
436;195;2;0;8;32;54
33046;286;0;6;11;42;54
34940;154;0;8;15;37;56
19016;205;0;21;12;55;0
36179;120;0;10;8;29;56
32034;201;3;5;11;53;17
25550;341;1;30;1;18;49
23670;90;0;27;20;0;34
7238;248;12;7;2;1;52
26991;148;0;0;15;12;40
34442;229;0;7;23;59;19
45894;398;1;22;5;51;17
26357;146;0;0;1;11;26
43520;115;0;19;4;56;50
22464;125;0;26;2;31;53
10069;314;2;10;1;29;34
46521;325;0;23;2;18;15
5642;218;0;5;7;4;26
2743;126;7;2;6;49;13
7247;113;0;7;2;18;16
29149;170;0;2;17;59;25
38294;206;3;12;13;19;34
28825;128;0;2;10;24;4
49406;150;2;26;18;33;12
43330;158;2;18;23;32;26
31409;214;0;4;21;8;9
48327;191;0;25;11;37;46
20570;335;4;23;9;59;45
1565;218;0;1;6;47;19
12971;198;6;13;22;0;21
43875;56;0;19;15;13;47
26689;212;0;0;8;38;5
39140;181;0;13;13;28;2
12981;302;0;13;22;13;22
40613;343;0;15;10;49;27
3772;137;19;3;5;39;21
5853;231;0;5;13;19;36
15483;154;0;16;19;8;24
34854;240;0;8;12;59;51
34686;32;0;8;7;44;33
47256;210;0;24;6;13;43
23969;196;2;28;4;21;40
12203;58;0;13;0;29;14
46297;280;2;22;19;11;2
7725;96;4;7;13;31;31
34303;315;2;7;20;8;46
45258;337;0;21;8;34;13
46957;273;0;23;20;41;34
18700;135;2;21;3;45;26
22425;324;0;26;1;11;0
48695;261;2;25;21;54;59
25885;331;4;30;11;21;35
16658;242;0;18;9;30;23
44865;297;4;20;19;31;3
32279;233;0;5;17;53;0
13301;97;1;14;5;55;32
18627;323;0;21;1;39;41
44166;211;0;19;23;5;38
15499;74;0;16;19;40;56
23975;185;0;28;4;35;38
5129;40;0;4;15;5;22
15971;79;2;17;11;42;10
18843;281;0;21;7;24;7
48416;153;3;25;13;49;16
38371;3;1;12;15;15;24
45299;184;0;21;9;51;12
3242;19;0;2;17;56;12
28863;191;2;2;11;5;55
38166;262;6;12;9;53;24
50279;163;0;27;20;5;54
45234;373;0;21;7;52;5
5144;223;2;4;15;21;37
10189;229;2;10;4;43;47
31841;306;8;5;7;30;56
18869;428;0;21;7;57;8
979;165;8;0;18;19;57
47492;165;8;24;12;28;53
30432;212;0;3;23;19;33
46434;32;0;22;23;24;43
46942;369;0;23;19;59;40
33747;293;3;7;5;11;11
6282;204;4;6;2;42;4
24894;74;2;29;5;34;35
32291;6;0;5;18;8;19
29900;230;0;3;11;47;0
41638;144;0;16;22;53;20
5672;207;0;5;8;0;55
21345;259;0;24;10;0;15
29691;286;0;3;7;2;38
27968;40;4;1;13;33;48
7586;209;0;7;10;13;57
20676;327;10;23;13;0;42
14354;171;6;15;10;48;3
40247;256;0;14;22;25;32
17271;215;4;19;6;32;7
49837;301;2;27;6;50;58
22438;60;2;26;1;32;27
11632;103;0;12;2;7;54
17008;207;0;18;20;47;58
43788;130;0;19;13;3;21
44067;303;0;19;20;39;59
49575;168;0;26;23;28;3
44973;229;0;20;23;3;17
29436;267;0;3;1;42;47
19021;198;0;21;12;59;57
3074;257;2;2;14;20;4
1078;187;0;0;20;23;20
10852;35;0;10;23;50;18
17867;161;2;20;4;40;50
20217;111;6;22;23;8;43
5665;302;0;5;7;45;26
2989;343;6;2;12;6;44
14850;213;4;16;0;26;50
45929;18;4;22;7;0;12
34729;200;0;8;8;55;56
2814;408;2;2;8;7;8
7516;35;11;7;8;48;31
18980;177;0;21;11;29;37
35423;172;0;9;7;53;36
961;192;4;0;18;1;29
13249;401;0;14;4;49;3
1791;141;1;1;11;25;55
42243;212;0;17;16;0;31
4393;342;0;3;20;13;7
23200;36;0;27;6;27;2
14499;37;8;15;15;2;37
24410;119;0;28;16;45;24
28648;170;0;2;5;19;6
5749;133;0;5;10;17;10
23399;102;0;27;12;15;45
20033;191;0;22;18;6;41
43350;105;3;19;0;14;45
31452;178;0;4;22;8;45
26275;156;4;30;23;12;35
25730;200;0;30;6;36;58
26995;212;0;0;15;21;33
4262;258;1;3;17;5;8
47142;265;12;24;3;12;55
10003;136;0;10;0;6;59
1800;40;0;1;11;38;3
39359;237;0;13;20;2;47
24115;364;1;28;8;43;29
41215;164;3;16;7;14;29
10986;129;14;11;3;42;45
21502;153;10;24;15;36;23
20763;134;4;23;16;10;30
10441;218;0;10;11;55;1
43663;9;4;19;9;30;32
9233;230;0;9;3;42;32
19826;295;4;22;12;4;25
30618;106;6;4;3;30;18
35332;156;0;9;4;41;58
26501;387;4;0;4;21;22
47103;267;4;24;1;56;38
10417;99;2;10;11;6;54
18716;314;0;21;4;19;12
48877;277;2;26;2;39;20
39168;176;0;13;14;22;55
6942;161;0;6;19;15;43
35325;157;0;9;4;23;1
28262;277;1;1;19;50;51
19670;156;0;22;7;43;25
34504;123;3;8;1;54;42
48125;87;0;25;6;41;44
5325;138;2;4;21;11;27
30081;238;0;3;15;28;14
46380;394;1;22;21;47;51
43871;196;0;19;15;10;10
14750;135;0;15;21;38;9
22947;130;2;26;22;38;42
27300;42;0;0;21;47;15
47421;328;0;24;10;32;55
12556;298;2;13;10;18;47
37173;240;0;11;9;2;55
15145;346;0;16;8;48;17
5857;256;0;5;13;28;1
39403;14;0;13;21;31;3
41921;226;0;17;6;56;14
39766;280;0;14;9;2;7
35019;77;0;8;18;4;37
35587;162;3;9;14;24;15
46246;361;0;22;17;34;40
37560;67;6;11;18;58;23
27813;304;2;1;9;56;5
18424;166;2;20;20;0;18
37751;333;14;11;23;46;34
41792;4;5;17;3;13;17
35445;417;0;9;8;52;49
32066;98;0;5;12;33;42
43676;196;0;19;9;51;57
25086;191;0;29;11;48;39
33442;71;0;6;21;49;30
10123;312;2;10;3;10;13
48431;310;0;25;14;25;3
16162;244;0;17;17;15;6
30730;270;0;4;5;55;41
7195;148;7;7;0;52;1
3579;252;0;3;1;5;1
17595;74;0;19;19;17;7
19985;26;0;22;16;37;29
29186;137;4;2;19;5;8
8471;278;0;8;8;19;57
4204;180;0;3;15;54;20
6957;144;0;6;19;32;46
9163;90;1;9;2;5;18
16281;329;4;17;20;39;33
17163;331;1;19;2;28;8
23352;95;2;27;11;4;30
27316;361;11;0;22;8;36
33310;302;3;6;18;35;49
1;83;2;0;0;1;17
38923;262;1;13;6;43;56
48085;54;4;25;5;40;42
7648;258;8;7;11;38;32
4217;287;0;3;16;13;23
45916;256;4;22;6;31;51
1185;270;5;0;22;35;29
46466;194;0;23;0;24;53
41114;282;4;16;3;24;9
33281;254;8;6;17;52;29
48515;141;0;25;17;2;54
5386;396;0;4;22;58;43
18826;303;0;21;7;2;44
10262;365;2;10;6;36;7
12932;278;3;13;21;1;28
38136;91;1;12;9;24;29
47783;233;0;24;21;23;38
14458;351;7;15;13;55;49
43152;337;0;18;17;29;13
3979;234;0;3;10;8;58
7090;144;0;6;22;15;29
24915;26;0;29;6;16;18
34536;229;10;8;3;3;58
38156;82;0;12;9;41;54
42303;205;0;17;17;30;41
47538;269;0;24;14;14;31
49991;115;0;27;11;46;28
30606;410;8;4;3;16;54
28156;205;0;1;17;21;0
49473;222;4;26;20;29;14
29380;178;1;3;0;30;26
12915;209;2;13;20;37;10
30920;187;0;4;10;16;45
25252;72;0;29;16;37;12
7104;120;0;6;22;45;12
18148;250;0;20;12;31;12
16481;268;0;18;3;46;31
4056;296;2;3;12;1;27
41840;259;0;17;4;43;41
19261;203;0;21;19;53;34
7191;273;2;7;0;48;40
33564;166;6;7;0;43;15
938;258;4;0;17;41;6
18393;406;20;20;19;18;49
25928;166;2;30;12;46;59
32169;224;0;5;14;57;53
1072;194;0;0;20;17;17
43700;148;1;19;10;36;29
28811;294;0;2;9;58;37
47663;224;0;24;17;51;47
27154;68;0;0;18;32;37
12796;128;0;13;17;30;5
16332;81;0;17;22;38;1
34927;191;0;8;15;8;1
43787;301;0;19;13;1;31
30547;304;14;4;2;7;47
45622;21;0;21;20;14;20
14311;362;8;15;9;39;48
36192;51;1;10;8;47;36
47921;141;0;25;0;59;11
42338;192;0;17;18;27;32
90;186;10;0;1;37;1
33330;72;12;6;19;0;9
37316;290;0;11;13;8;40
25608;338;0;30;3;15;56
13863;108;2;14;20;46;12
22512;147;6;26;4;5;36
36277;151;8;10;10;41;58
498;254;0;0;9;39;6
39230;140;0;13;16;29;48
33784;95;0;7;6;6;2
12814;215;0;13;18;10;53
32358;304;0;5;19;33;59
32341;77;2;5;19;13;0
32961;223;0;6;9;40;10
20712;164;0;23;14;10;50
18848;40;0;21;7;30;35
33107;42;0;6;13;24;28
5145;223;0;4;15;24;56
36426;165;6;10;14;11;44
38144;120;0;12;9;31;20
7487;180;0;7;8;16;32
34193;302;2;7;17;29;15
20904;176;2;23;20;29;56
10557;203;0;10;15;29;16
28198;185;2;1;18;20;21
34110;199;2;7;15;32;59
21813;250;0;25;2;14;56
6493;175;0;6;8;4;36
22472;271;2;26;3;0;1
15526;247;11;16;20;48;38
46400;323;0;22;22;8;42
39926;138;1;14;13;48;20
41538;304;0;16;19;10;41
38234;366;4;12;11;42;46
4645;329;0;4;2;4;19
45551;428;2;21;17;37;14
26059;299;2;30;16;47;38
35302;218;2;9;3;36;9
39367;159;2;13;20;17;2
5757;89;0;5;10;31;18
41774;319;0;17;2;48;34
25273;147;0;29;17;2;8
32240;178;2;5;16;40;39
6140;249;4;5;23;8;28
6912;271;0;6;18;30;39
10873;262;0;11;0;18;0
11915;280;0;12;12;42;7
44664;283;2;20;13;2;35
31048;204;0;4;13;14;5
21567;306;0;24;18;0;23
31193;115;2;4;16;24;25
7361;153;3;7;4;58;17
28347;208;0;1;21;35;6
1457;290;0;1;4;21;14
5201;51;2;4;17;10;39
46340;127;2;22;20;36;53
36733;173;0;10;22;2;1
29463;277;0;3;2;20;38
33319;349;6;6;18;48;32
32869;147;6;6;7;28;42
31943;276;6;5;9;56;21
1796;170;11;1;11;31;5
28257;166;2;1;19;47;21
48864;287;0;26;2;17;38
3018;74;0;2;12;55;11
31188;251;4;4;16;16;34
12088;252;0;12;19;53;32
16156;163;0;17;17;4;4
27983;159;3;1;13;49;13
17708;88;6;20;0;19;40
49920;160;0;27;9;27;13
18348;211;2;20;18;12;38
13581;25;0;14;12;45;55
6703;197;2;6;13;36;56
20139;40;0;22;20;44;55
45318;144;0;21;10;30;34
39503;257;2;14;0;33;28
2645;387;2;2;4;40;46
27753;226;0;1;8;0;56
33713;19;8;7;4;33;0
186;285;0;0;3;35;19
18372;379;0;20;18;45;33
8106;312;2;7;22;33;27
2166;121;10;1;19;21;45
6316;226;2;6;3;41;5
43314;219;0;18;22;56;29
23700;260;1;27;20;44;18
41866;149;2;17;5;24;2
49787;154;0;27;5;37;26
30774;128;4;4;7;5;16
27660;330;0;1;5;45;47
46003;22;0;22;9;44;53
16290;84;0;17;20;56;42
28008;320;0;1;14;14;0
4932;38;0;4;9;47;46
280;241;0;0;5;23;13
23837;295;0;28;1;6;19
20419;184;0;23;5;21;2
10820;112;4;10;22;58;42
40035;157;2;14;16;47;8
18483;99;1;20;21;25;33
26684;174;1;0;8;30;12
37154;236;0;11;8;33;26
28319;161;2;1;21;7;0
3723;161;0;3;4;31;24
28243;203;10;1;19;29;34
18501;26;0;20;21;53;13
31274;108;0;4;17;55;53
3281;158;2;2;18;32;41
40141;249;4;14;19;29;24
48541;291;10;25;17;36;14
12950;198;2;13;21;24;13
7732;233;8;7;13;42;16
22038;216;16;25;10;59;32
42805;151;0;18;7;53;1
9701;212;3;9;17;0;36
36146;139;1;10;7;39;16
36410;38;0;10;13;46;28
6319;370;0;6;3;45;35
10118;44;1;10;3;6;17
40849;257;0;15;17;39;58
2845;89;0;2;8;41;48
21212;161;0;24;5;25;32
12338;199;0;13;4;27;27
48095;211;0;25;5;57;39
3578;376;0;3;1;2;50
37803;202;13;12;1;3;57
27705;263;0;1;6;42;22
14473;107;0;15;14;16;40
23994;32;0;28;4;54;48
30365;372;8;3;21;43;11
682;257;4;0;12;54;2
21583;217;0;24;18;32;52
4230;87;0;3;16;28;40
5935;251;0;5;16;19;8
39460;279;2;13;23;8;59
45872;219;0;22;5;19;27
31964;413;3;5;10;21;12
5001;210;2;4;11;46;51
2923;332;0;2;10;16;44
43860;423;0;19;14;56;13
30487;229;2;4;1;5;49
44003;332;0;19;18;57;58
2691;219;2;2;5;44;37
7827;124;10;7;15;39;9
4811;266;0;4;6;43;48
45747;56;0;22;1;18;44
3446;156;10;2;21;43;13
25202;89;2;29;15;17;23
39990;226;0;14;15;35;57
29385;182;0;3;0;43;28
11709;226;0;12;5;8;11
8156;130;0;7;23;43;30
19066;290;0;21;14;21;33
18173;171;0;20;13;11;58
27628;35;0;1;5;9;11
49610;364;2;27;0;17;41
11483;39;0;11;19;38;31
39946;70;3;14;14;22;20
25369;339;0;29;20;5;46
41805;77;0;17;3;28;34
26452;284;0;0;3;19;25
44802;394;0;20;17;19;30
43521;207;0;19;4;58;25
10608;72;6;10;16;46;9
1231;259;3;0;23;24;25
7751;178;0;7;14;7;37
108;184;0;0;1;57;28
40655;113;6;15;12;11;42
44289;148;2;20;2;23;18
23588;156;0;27;17;25;44
47491;165;4;24;12;28;32
37649;128;0;11;21;10;50
3529;333;0;2;23;40;49
3110;235;0;2;15;6;15
21837;195;0;25;3;33;53
20066;155;0;22;18;56;49
35467;7;0;9;10;3;55
49359;286;3;26;17;8;19
26584;182;0;0;6;23;15
17777;131;0;20;1;56;44
24458;161;2;28;17;44;58
11069;141;2;11;6;5;24
20248;147;5;23;0;3;53
22810;347;0;26;16;39;28
37526;350;0;11;18;18;4
13717;264;0;14;16;45;48
1396;174;0;1;3;11;52
17132;393;0;19;1;10;19
20747;22;0;23;15;40;12
37800;202;0;12;1;2;34
18719;94;4;21;4;23;10
40504;136;2;15;7;19;36
3141;351;0;2;15;48;23
40253;294;0;14;22;38;1
35134;288;1;8;21;50;27
24758;258;5;29;2;6;56
17041;146;1;18;21;57;11
7336;340;0;7;4;20;18
25561;327;0;30;1;54;10
11668;405;0;12;3;21;25
4289;232;0;3;17;34;44
38375;113;0;12;15;17;43
6663;297;2;6;12;29;20
36580;220;2;10;18;6;45
37005;204;4;11;4;48;54
2086;178;5;1;17;32;33
3202;211;10;2;17;13;39
39186;259;2;13;14;57;34
46225;220;0;22;16;50;43
45207;305;2;21;6;53;24
10444;59;0;10;12;1;25
17455;279;3;19;13;13;25
42170;89;0;17;13;45;58
16177;131;0;17;17;45;50
33254;197;0;6;17;16;8
8288;298;4;8;3;6;19
47218;274;0;24;5;5;45
36233;77;0;10;9;44;24
42844;122;4;18;9;0;53
2323;195;0;1;22;29;45
10904;139;4;11;1;14;50
19860;50;2;22;13;20;7
32081;176;18;5;12;45;29
36957;335;6;11;3;36;12
39351;172;7;13;19;38;36
21284;31;0;24;8;3;17
15771;239;0;17;5;8;45
10365;173;0;10;9;18;4
19277;182;0;21;20;17;1
6753;255;0;6;14;53;48
8480;299;0;8;8;27;53
31717;126;14;5;4;15;48
24499;240;12;28;18;50;30
26901;169;7;0;13;2;26
