;day;hour;minute;fail_fee;amount;3D_secured;encoded_PSP;encoded_card;encoded_weekday;current_number_of_try
15985;17;12;40;0;144;1;2;1;0;2
12505;13;9;35;0;340;1;2;1;1;3
24639;28;23;32;1;200;1;3;2;5;1
43242;18;22;41;2;294;1;1;1;5;0
33574;7;2;10;2;307;0;1;2;0;0
23712;27;21;59;1;186;1;3;1;1;0
29860;3;11;49;1;341;0;3;2;1;0
4010;3;10;55;1;181;0;3;1;0;3
14092;15;4;8;1;184;0;3;1;6;0
7496;7;8;43;1;81;0;3;1;5;0
10079;10;2;14;1;106;0;3;1;0;0
48248;25;11;28;1;126;0;3;1;5;1
18726;21;5;28;1;112;0;3;2;5;1
1992;1;15;40;0;177;0;2;1;6;1
47789;24;23;25;1;168;1;3;0;1;0
9097;9;0;34;1;208;0;3;0;4;5
28215;1;19;47;1;166;0;3;1;2;0
21410;24;13;0;1;289;0;3;1;0;2
19936;22;15;57;1;115;0;3;0;6;0
12435;13;7;59;1;334;0;3;2;1;2
46676;23;11;56;2;138;1;1;2;3;4
5579;5;5;19;0;185;0;2;1;3;2
41285;16;13;9;1;217;0;3;0;3;2
8891;8;19;27;1;303;0;3;1;6;2
22577;26;8;12;2;126;0;1;2;3;0
8249;8;2;22;0;142;1;2;2;6;0
22130;25;15;17;2;305;0;1;1;2;0
26594;0;7;34;1;191;0;3;0;0;0
48989;26;8;26;1;119;1;3;0;6;0
1423;1;3;47;3;120;0;0;0;6;0
436;0;8;34;1;206;0;3;1;5;0
13438;14;9;59;1;332;0;3;1;5;0
45377;21;14;25;2;31;0;1;2;0;0
11474;11;20;5;1;160;1;3;1;2;0
27361;0;23;45;2;259;0;1;1;0;5
43714;19;12;46;1;181;0;3;2;6;0
17951;20;7;38;0;304;0;2;1;1;1
23602;27;18;56;1;183;1;3;0;1;0
7238;7;2;20;0;207;1;2;0;5;0
38456;12;19;1;0;273;0;2;1;6;2
27363;0;23;46;1;259;0;3;1;0;7
46644;23;10;36;1;203;0;3;1;3;0
26510;0;5;21;2;144;1;1;2;0;0
43447;19;4;41;1;134;1;3;1;6;3
19409;22;0;42;1;258;0;3;1;6;0
10069;10;1;54;1;283;0;3;1;0;2
46993;24;0;40;0;122;1;2;1;1;3
5642;5;7;16;1;348;1;3;0;3;2
2743;2;7;1;0;144;0;2;0;4;0
7247;7;2;50;3;245;0;0;1;5;0
49191;26;14;15;0;335;1;2;1;6;2
43666;19;11;28;3;176;0;0;1;6;1
12457;13;8;33;2;239;1;1;2;1;0
32869;6;8;42;0;311;0;2;0;4;1
31304;4;20;4;0;300;0;2;2;5;0
41120;16;6;12;2;177;1;1;1;3;0
