;day;hour;minute;fail_fee;amount;3D_secured;enc_PSP;enc_card;enc_weekday;current_number_of_try
15985;18;12;40;0,5;150;1;2;1;0;3
12505;14;9;35;0,5;346;1;2;1;1;4
24639;29;23;32;1,0;206;1;3;2;5;2
43242;19;22;41;2,0;300;1;1;1;5;1
33574;8;2;10;2,0;313;0;1;2;0;1
23712;28;21;59;1,0;192;1;3;1;1;1
29860;4;11;49;1,0;347;0;3;2;1;1
4010;4;10;55;1,0;187;0;3;1;0;4
14092;16;4;8;1,0;190;0;3;1;6;1
7496;8;8;43;1,0;87;0;3;1;5;1
10079;11;2;14;1,0;112;0;3;1;0;1
48248;26;11;28;1,0;132;0;3;1;5;2
18726;22;5;28;1,0;118;0;3;2;5;2
1992;2;15;40;0,5;183;0;2;1;6;2
47789;25;23;25;1,0;174;1;3;0;1;1
9097;10;0;34;1,0;214;0;3;0;4;6
28215;2;19;47;1,0;172;0;3;1;2;1
21410;25;13;0;1,0;295;0;3;1;0;3
19936;23;15;57;1,0;121;0;3;0;6;1
12435;14;7;59;1,0;340;0;3;2;1;3
46676;24;11;56;2,0;144;1;1;2;3;5
5579;6;5;19;0,5;191;0;2;1;3;3
41285;17;13;9;1,0;223;0;3;0;3;3
8891;9;19;27;1,0;309;0;3;1;6;3
22577;27;8;12;2,0;132;0;1;2;3;1
8249;9;2;22;0,5;148;1;2;2;6;1
22130;26;15;17;2,0;311;0;1;1;2;1
26594;1;7;34;1,0;197;0;3;0;0;1
48989;27;8;26;1,0;125;1;3;0;6;1
1423;2;3;47;5,0;126;0;0;0;6;1
436;1;8;34;1,0;212;0;3;1;5;1
13438;15;9;59;1,0;338;0;3;1;5;1
45377;22;14;25;2,0;37;0;1;2;0;1
11474;12;20;5;1,0;166;1;3;1;2;1
27361;1;23;45;2,0;265;0;1;1;0;6
43714;20;12;46;1,0;187;0;3;2;6;1
17951;21;7;38;0,5;310;0;2;1;1;2
23602;28;18;56;1,0;189;1;3;0;1;1
7238;8;2;20;0,5;213;1;2;0;5;1
38456;13;19;1;0,5;279;0;2;1;6;3
27363;1;23;46;1,0;265;0;3;1;0;8
46644;24;10;36;1,0;209;0;3;1;3;1
26510;1;5;21;2,0;150;1;1;2;0;1
43447;20;4;41;1,0;140;1;3;1;6;4
19409;23;0;42;1,0;264;0;3;1;6;1
10069;11;1;54;1,0;289;0;3;1;0;3
46993;25;0;40;0,5;128;1;2;1;1;4
5642;6;7;16;1,0;354;1;3;0;3;3
2743;3;7;1;0,5;150;0;2;0;4;1
7247;8;2;50;5,0;251;0;0;1;5;1
49191;27;14;15;0,5;341;1;2;1;6;3
43666;20;11;28;5,0;182;0;0;1;6;2
12457;14;8;33;2,0;245;1;1;2;1;1
32869;7;8;42;0,5;317;0;2;0;4;2
31304;5;20;4;0,5;306;0;2;2;5;1
41120;17;6;12;2,0;183;1;1;1;3;1
14115;16;4;45;2,0;295;0;1;1;6;3
1565;2;6;50;1,0;224;1;3;2;6;7
19026;22;13;50;1,0;318;0;3;1;5;2
39312;14;20;20;1,0;135;0;3;1;4;1
26607;1;7;46;2,0;109;0;1;1;0;3
39074;14;13;3;0,5;236;0;2;0;4;1
29080;3;17;29;1,0;55;0;3;1;3;4
43244;19;22;46;1,0;207;1;3;1;5;2
3772;4;5;50;2,0;213;0;1;1;0;1
5853;6;13;48;2,0;316;1;1;0;3;2
18591;22;1;13;1,0;304;0;3;2;5;1
34797;9;12;40;2,0;155;0;1;1;2;1
12090;13;20;55;0,5;148;0;2;2;3;3
10648;11;18;49;2,0;16;0;1;1;0;1
46277;23;20;41;1,0;255;0;3;1;2;4
35368;10;7;45;1,0;73;0;3;0;3;1
46219;23;18;55;0,5;120;0;2;1;2;1
7725;8;13;45;1,0;177;1;3;2;5;1
32199;6;16;50;2,0;302;1;1;1;6;1
31993;6;12;0;0,5;243;0;2;1;6;2
17530;20;17;43;2,0;115;0;1;2;3;1
39086;14;13;33;1,0;302;0;3;0;4;1
31464;5;23;40;2,0;305;1;1;1;5;3
48614;26;21;43;1,0;465;0;3;1;5;1
15936;18;11;27;1,0;295;1;3;1;0;1
35939;11;3;39;1,0;258;0;3;1;1;2
18471;21;21;46;1,0;351;0;3;2;1;1
14350;16;11;28;1,0;38;0;3;1;6;3
45913;23;8;43;2,0;113;0;1;1;2;2
24342;29;15;46;1,0;266;0;3;1;5;1
44092;20;22;44;2,0;93;1;1;0;6;2
44901;21;22;49;1,0;241;0;3;1;4;3
23463;28;14;36;1,0;148;0;3;0;1;1
5129;5;15;17;1,0;37;0;3;2;2;2
16889;19;17;55;1,0;300;1;3;1;2;1
18786;22;6;45;1,0;109;0;3;1;5;3
32763;7;6;2;0,5;280;0;2;1;4;3
38305;13;15;1;1,0;311;1;3;0;6;2
18798;22;6;57;0,5;62;0;2;1;5;1
3242;3;18;4;0,5;153;0;2;1;4;1
43024;19;15;45;0,5;206;0;2;1;5;1
30065;4;16;1;2,0;146;0;1;0;1;1
50198;28;19;56;1,0;50;1;3;0;4;4
44180;21;1;18;1,0;244;0;3;0;4;2
5144;5;15;48;2,0;440;0;1;2;2;2
31733;6;5;58;1,0;39;1;3;1;6;1
30721;5;6;54;1,0;203;0;3;1;5;2
979;1;18;23;1,0;265;0;3;2;5;3
16281;18;21;19;2,0;19;0;1;0;0;1
22382;27;0;39;1,0;259;1;3;1;3;1
38515;13;20;35;1,0;79;0;3;0;6;2
46863;24;19;21;0,5;155;0;2;0;3;2
14314;16;10;13;2,0;118;0;1;1;6;1
6282;7;3;1;1,0;323;1;3;0;1;1
49301;27;17;43;0,5;111;0;2;0;6;4
25722;31;7;18;2,0;258;0;1;1;4;4
18695;22;4;24;5,0;304;1;0;0;5;1
41566;17;22;25;2,0;121;1;1;1;3;1
5672;6;8;21;1,0;385;1;3;0;3;1
11416;12;18;3;1,0;59;0;3;2;2;2
29595;4;5;45;0,5;77;0;2;1;1;1
20087;23;20;11;5,0;214;0;0;1;6;1
7586;8;10;34;2,0;103;0;1;1;5;4
20616;24;12;8;1,0;323;0;3;1;4;2
14279;16;9;26;1,0;183;1;3;1;6;1
35947;11;3;54;1,0;185;0;3;1;1;1
17571;20;19;18;0,5;268;0;2;1;3;1
30440;5;1;2;0,5;179;1;2;1;5;1
22374;27;0;26;0,5;176;0;2;1;3;1
23280;28;9;54;2,0;144;1;1;2;1;4
10803;11;22;54;5,0;318;0;0;0;0;1
11808;13;9;7;0,5;225;1;2;1;3;1
45571;22;20;32;2,0;184;1;1;1;0;1
22610;27;9;18;2,0;228;0;1;2;3;1
48123;26;8;48;0,5;122;1;2;1;5;1
31818;6;7;58;1,0;127;0;3;2;6;3
21361;25;11;22;1,0;175;0;3;1;0;1
3074;3;14;36;1,0;190;0;3;2;4;1
1078;1;20;27;1,0;195;0;3;1;5;3
14085;16;3;51;1,0;125;0;3;1;6;1
13694;15;16;40;1,0;76;0;3;0;5;1
45100;22;5;18;2,0;87;0;1;2;0;1
5665;6;8;6;1,0;328;0;3;1;3;2
2989;3;12;16;2,0;238;0;1;1;4;1
11477;12;20;11;1,0;220;0;3;1;2;1
45851;23;6;31;5,0;262;1;0;1;2;3
10824;11;23;34;1,0;221;1;3;1;0;1
2814;3;8;13;5,0;99;0;0;0;4;3
7516;8;8;57;1,0;331;0;3;1;5;4
18923;22;10;33;1,0;233;0;3;1;5;1
46217;23;18;50;0,5;21;1;2;0;2;1
961;1;18;6;1,0;247;0;3;1;5;2
10915;12;2;9;1,0;276;0;3;2;2;1
1791;2;11;33;1,0;167;0;3;1;6;1
42171;18;15;45;1,0;279;0;3;1;1;2
4393;4;20;23;1,0;158;0;3;1;0;2
39302;14;20;3;1,0;243;0;3;2;4;2
14424;16;13;42;1,0;318;0;3;2;6;2
44529;21;11;9;0,5;63;0;2;1;4;2
41163;17;7;40;1,0;270;1;3;1;3;2
5749;6;10;34;1,0;348;1;3;1;3;2
41156;17;7;22;2,0;218;1;1;1;3;1
39568;15;4;28;0,5;204;0;2;2;0;1
23352;28;11;47;1,0;108;0;3;1;1;4
31347;5;20;44;1,0;36;0;3;0;5;1
14237;16;8;32;1,0;213;0;3;0;6;1
18554;21;23;59;1,0;185;1;3;1;1;1
37671;12;23;1;0,5;262;0;2;1;5;1
4262;4;17;18;1,0;55;0;3;1;0;1
48999;27;8;49;0,5;144;0;2;1;6;1
10003;11;0;18;1,0;19;0;3;1;0;3
1800;2;11;46;0,5;411;0;2;0;6;1
45166;22;7;45;1,0;114;0;3;2;0;2
13375;15;8;24;1,0;120;0;3;0;5;1
40407;16;6;4;5,0;197;0;0;1;2;1
41255;17;11;56;2,0;21;0;1;1;3;1
25217;30;16;33;5,0;264;1;0;2;6;1
42660;19;5;48;1,0;96;0;3;0;5;1
38407;13;17;44;5,0;215;0;0;1;6;2
39364;14;22;2;1,0;378;0;3;1;4;2
9233;10;4;1;1,0;258;1;3;1;4;1
36139;11;8;47;1,0;57;0;3;2;1;2
41066;17;3;50;1,0;248;0;3;1;3;1
11813;13;9;18;2,0;361;0;1;1;3;1
34611;9;6;35;1,0;351;0;3;2;2;1
35299;10;5;18;0,5;166;0;2;1;3;1
19315;22;21;54;1,0;326;1;3;2;5;1
48738;27;1;1;0,5;209;0;2;1;6;1
48796;27;2;27;1,0;310;0;3;1;6;1
39102;14;14;6;0,5;247;1;2;2;4;1
6942;7;19;25;0,5;167;0;2;1;1;1
35267;10;4;11;1,0;43;0;3;0;3;4
14146;16;5;44;1,0;315;0;3;1;6;1
30724;5;7;2;1,0;258;0;3;0;5;1
34198;8;18;45;1,0;136;0;3;1;0;1
48045;26;6;33;0,5;84;0;2;1;5;2
5325;5;21;31;0,5;198;0;2;1;2;1
29982;4;14;19;1,0;279;0;3;1;1;2
43797;20;14;56;1,0;429;0;3;1;6;1
13130;15;2;29;0,5;323;1;2;0;5;1
22882;27;21;1;5,0;123;0;0;1;3;1
27217;1;20;49;2,0;219;0;1;2;0;2
47257;25;8;6;1,0;12;1;3;0;1;1
12487;14;9;13;2,0;62;0;1;1;1;1
32918;7;9;47;1,0;221;0;3;0;4;3
28200;2;19;28;1,0;209;0;3;1;2;2
5857;6;14;7;2,0;158;0;1;2;3;1
39337;14;21;8;5,0;327;0;0;2;4;1
15296;17;14;0;1,0;185;0;3;0;4;2
15247;17;12;27;1,0;242;0;3;1;4;2
42305;18;19;20;1,0;136;0;3;1;1;2
31579;6;2;10;1,0;158;1;3;1;6;1
29934;4;13;20;2,0;98;0;1;0;1;1
24488;29;19;38;1,0;277;0;3;1;5;2
37736;13;0;45;1,0;230;0;3;1;6;1
24582;29;22;1;1,0;23;0;3;0;5;1
28245;2;20;26;2,0;271;0;1;1;2;1
12514;14;9;47;0,5;242;0;2;1;1;4
22141;26;15;48;1,0;47;0;3;1;2;1
42995;19;14;57;1,0;46;0;3;2;5;3
25087;30;12;40;1,0;257;0;3;1;6;3
25012;30;10;28;1,0;173;0;3;0;6;2
32143;6;15;16;0,5;111;0;2;1;6;3
10123;11;3;27;1,0;350;0;3;1;0;3
48350;26;14;3;1,0;361;1;3;1;5;1
32030;6;12;44;5,0;182;0;0;0;6;3
31434;5;22;51;0,5;283;1;2;1;5;5
7195;8;1;2;1,0;13;0;3;1;5;2
3579;4;1;18;1,0;80;0;3;1;0;1
41192;17;9;3;5,0;368;0;0;1;3;1
11214;12;11;1;0,5;98;1;2;2;2;1
45996;23;11;38;0,5;447;0;2;1;2;1
8471;9;8;33;1,0;130;0;3;1;6;2
4204;4;16;1;2,0;189;0;1;0;0;1
6957;7;19;42;1,0;296;1;3;1;1;2
9163;10;2;26;1,0;78;0;3;1;4;4
23951;29;4;41;1,0;312;0;3;1;5;2
50232;28;21;3;0,5;359;0;2;2;4;1
33973;8;12;31;0,5;315;0;2;0;0;1
49540;28;0;35;0,5;182;0;2;1;4;1
33255;7;18;32;0,5;54;0;2;1;4;1
1;1;0;1;1,0;89;0;3;2;5;2
31002;5;13;14;5,0;210;0;0;1;5;1
31298;5;19;51;2,0;325;0;1;2;5;2
7648;8;12;13;2,0;284;0;1;1;5;1
4217;4;16;21;2,0;120;0;1;1;0;4
36890;12;3;19;1,0;205;0;3;1;5;2
1185;1;22;40;2,0;160;0;1;1;5;1
46388;23;23;56;1,0;213;0;3;0;2;1
23809;29;1;8;1,0;304;0;3;2;5;1
12980;14;22;30;2,0;270;0;1;1;1;1
43869;20;16;46;1,0;191;1;3;1;6;2
5386;5;23;11;0,5;215;0;2;1;2;1
